,Film,Year,Lead Studio
54,Knocked Up,2007,Universal
27,Sex and the City,2008,Warner Bros.
76,(500) Days of Summer,2009,Fox
69,Enchanted,2007,Disney
71,Beginners,2011,Independent
44,Marley and Me,2008,Fox
45,Mamma Mia!,2008,Universal
46,Mamma Mia!,2008,Universal
60,High School Musical 3: Senior Year,2008,Disney
16,The Proposal,2009,Disney
